Year; Shares ;Company;Percentage of Company Owned; Cost (in millions) ; Market (in millions) ;Ticker;Net Change in Shares Since Prior Report
2019;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);18,7;1.287,00;18.874,00;AXP;0
2019;250.866.566;APPLE INC. (XNAS:AAPL);5,7;35.287,00;73.667,00;AAPL;-4433763
2019;947.760.000;Bank of America Corporation;10,7;12.560,00;33.380,00;BAC;0
2019;81.488.751;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);9;3.696,00;4.101,00;BKPRC;-3000000
2019;5.426.609;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);2,6;944;2.632,00;CHTR;-1362445
2019;400.000.000;THE COCA-COLA COMPANY (XETR:CCC3);9,3;1.299,00;22.140,00;CCC3;0
2019;70.910.456;DELTA AIR LINES, INC. (XFRA:OYC);11;3.125,00;4.147,00;OYC;5375456
2019;12.435.814;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);3,5;890;2.859,00;GS;-6348884
2019;60.059.932;JPMORGAN CHASE & CO. (XNYS:JPM);1,9;6.556,00;8.372,00;JPM;9398538
2019;24.669.778;MOODY'S CORPORATION (XNYS:MCO);13,1;248;5.857,00;MCO;0
2019;46.692.713;SOUTHWEST AIRLINES CO. (XNYS:LUV);9;1.940,00;2.520,00;LUV;-1198186
2019;21.938.642;United Continental Holdings Inc.;8,7;1.195,00;1.933,00;UAL;0
2019;149.497.786;U.S. BANCORP (XNYS:USB);9,7;5.709,00;8.864,00;USB;3150787
2019;10.239.160;VISA INC. (XNYS:V);0,6;349;1.924,00;V;0
2019;345.688.918;WELLS FARGO & COMPANY (XNYS:WFC);8,4;7.040,00;18.598,00;WFC;-103660184
2019;0;Others*** ;0;28.215,00;38.159,00;No Ticker;0
2018;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);17,9;1.287,00;14.452,00;AXP;0
2018;255.300.329;APPLE INC. (XNAS:AAPL);5,4;36.044,00;40.271,00;AAPL;88587120
2018;918.919.000;BANK OF AMERICA CORPORATION (XNYS:BAC);9,5;11.650,00;22.642,00;BAC;218919000
2018;84.488.751;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);8,8;3.860,00;3.977,00;BKPRC;31181217
2018;6.789.054;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);3;1.210,00;1.935,00;CHTR;0
2018;400.000.000;THE COCA-COLA COMPANY (XFRA:CCC3);9,4;1.299,00;18.940,00;CCC3;0
2018;65.535.000;DELTA AIR LINES, INC. (XFRA:OYC);9,6;2.860,00;3.270,00;OYC;12424605
2018;18.784.698;THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);4,9;2.380,00;3.138,00;GS;7394116
2018;50.661.394;JPMORGAN CHASE & CO. (XNYS:JPM);1,5;5.605,00;4.946,00;JPM;0
2018;24.669.778;MOODY'S CORPORATION (XNYS:MCO);12,9;248;3.455,00;MCO;0
2018;47.890.899;SOUTHWEST AIRLINES CO. (XNYS:LUV);8,7;2.005,00;2.226,00;LUV;231443
2018;21.938.642;United Continental Holdings Inc.;8,1;1.195,00;1.837,00;UAL;-4681542
2018;146.346.999;U.S. BANCORP (XNYS:USB);9,1;5.548,00;6.688,00;USB;42491954
2018;43.387.980;Smartshares US Large Gth ETF (XNZE:USG);31;836;1.851,00;USG;0
2018;449.349.102;WELLS FARGO & COMPANY (XNYS:WFC);9,8;10.639,00;20.706,00;WFC;-34121751
2018;0;Others;0;16.201,00;22.423,00;No Ticker;0
2017;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);17,6;1.287,00;15.056,00;AXP;0
2017;166.713.209;APPLE INC. (XNAS:AAPL);3,3;20.961,00;28.213,00;AAPL;105470557
2017;700.000.000;BANK OF AMERICA CORPORATION (XNYS:BAC);6,8;5.007,00;20.664,00;BAC;0
2017;53.307.534;THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK PR C);5,3;2.230,00;2.871,00;BKPRC;0
2017;225.000.000;BYD Company, Ltd. ;8,2;232;1.961,00;BYDDF;0
2017;6.789.054;CHARTER COMMUNICATIONS, INC. (XNAS:CHTR);2,8;1.210,00;2.281,00;CHTR;0
2017;400.000.000;THE COCA-COLA COMPANY (XFRA:CCC3);9,4;1.299,00;18.352,00;CCC3;0
2017;53.110.395;DELTA AIR LINES, INC. (XFRA:OYC);7,4;2.219,00;2.974,00;OYC;-1824323
