,date,CUSIP,quarters,average_return,date,CUSIP,quarters
0,1984,00206R10,1,-0.012266,,,
1,1984,00206R10,2,0.0014283333333333346,,,
2,1984,00206R10,3,0.05742633333333333,,,
3,1984,00206R10,4,0.030876666666666663,,,
4,1985,00206R10,1,0.02512466666666667,,,
5,1985,00206R10,2,0.046634,,,
6,1985,00206R10,3,-0.018164333333333334,,,
7,1985,00206R10,4,0.037818,,,
8,1986,00206R10,1,0.034055,,,
9,1986,00206R10,2,0.06335033333333333,,,
10,1986,00206R10,3,-0.002472999999999998,,,
11,1986,00206R10,4,0.02445433333333333,,,
12,1987,00206R10,1,0.01918033333333333,,,
13,1987,00206R10,2,0.005279333333333333,,,
14,1987,00206R10,3,0.047552333333333335,,,
15,1987,00206R10,4,-0.07148933333333334,,,
16,1988,00206R10,1,0.02585533333333333,,,
17,1988,00206R10,2,0.03676466666666667,,,
18,1988,00206R10,3,0.012619666666666668,,,
19,1988,00206R10,4,0.005401666666666668,,,
20,1989,00206R10,1,0.041501333333333335,,,
21,1989,00206R10,2,0.049176,,,
22,1989,00206R10,3,0.043626,,,
23,1989,00206R10,4,0.04526733333333333,,,
24,1990,00206R10,1,-0.03153700000000001,,,
25,1990,00206R10,2,-0.009803666666666667,,,
26,1990,00206R10,3,-0.0026283333333333345,,,
27,1990,00206R10,4,0.027029333333333336,,,
28,1991,00206R10,1,0.006083666666666669,,,
29,1991,00206R10,2,-0.010991999999999997,,,
30,1991,00206R10,3,0.019015,,,
31,1991,00206R10,4,0.056105666666666665,,,
32,1992,00206R10,1,-0.034132333333333334,,,
33,1992,00206R10,2,0.025286,,,
34,1992,00206R10,3,0.043815999999999994,,,
35,1992,00206R10,4,0.030367333333333333,,,
36,1993,00206R10,1,0.023645333333333334,,,
37,1993,00206R10,2,0.0005879999999999994,,,
38,1993,00206R10,3,0.04113833333333333,,,
39,1993,00206R10,4,-0.008409333333333333,,,
40,1994,00206R10,1,-0.005196666666666666,,,
41,1994,00206R10,2,0.02878733333333333,,,
42,1994,00206R10,3,-0.004364333333333334,,,
43,1994,00206R10,4,-0.013840333333333335,,,
44,1995,00206R10,1,0.017019999999999997,,,
45,1995,00206R10,2,0.046193333333333336,,,
46,1995,00206R10,3,0.05250933333333333,,,
47,1995,00206R10,4,0.016608666666666664,,,
48,1996,00206R10,1,-0.02520633333333333,,,
49,1996,00206R10,2,-0.018943333333333333,,,
50,1996,00206R10,3,-0.004249,,,
51,1996,00206R10,4,0.029111666666666664,,,
52,1997,00206R10,1,0.01160366666666667,,,
53,1997,00206R10,2,0.05629633333333333,,,
54,1997,00206R10,3,0.004124666666666665,,,
55,1997,00206R10,4,0.06431633333333332,,,
56,1998,00206R10,1,0.062439666666666664,,,
57,1998,00206R10,2,-0.024060333333333333,,,
58,1998,00206R10,3,0.041632666666666665,,,
59,1998,00206R10,4,0.067554,,,
60,1999,00206R10,1,-0.03901533333333333,,,
61,1999,00206R10,2,0.079379,,,
62,1999,00206R10,3,-0.03401233333333334,,,
63,1999,00206R10,4,-0.014752333333333334,,,
64,2000,00206R10,1,-0.04034200000000001,,,
65,2000,00206R10,2,0.011071999999999999,,,
66,2000,00206R10,3,0.056162,,,
67,2000,00206R10,4,-0.006558666666666667,,,
68,2001,00206R10,1,-0.019975,,,
69,2001,00206R10,2,-0.03193666666666667,,,
70,2001,00206R10,3,0.06358733333333333,,,
71,2001,00206R10,4,-0.05234833333333333,,,
