,CUSIP,year,month,return,dummy_variable
0,68389X10,1986,02,,0
1,68389X10,1986,03,C,0
2,68389X10,1986,04,0.197605,0
3,68389X10,1986,05,-0.060000,0
4,68389X10,1986,06,0.037234,0
5,68389X10,1986,07,-0.364103,0
6,68389X10,1986,08,0.064516,0
7,68389X10,1986,09,-0.136364,0
8,68389X10,1986,10,0.263158,0
9,68389X10,1986,11,0.194444,0
10,68389X10,1986,12,-0.034884,0
11,68389X10,1987,01,0.301205,0
12,68389X10,1987,02,0.425926,0
13,68389X10,1987,03,0.142857,0
14,68389X10,1987,04,0.068182,0
15,68389X10,1987,05,0.159574,0
16,68389X10,1987,06,-0.183486,0
17,68389X10,1987,07,0.022472,0
18,68389X10,1987,08,0.175824,0
19,68389X10,1987,09,0.214953,0
20,68389X10,1987,10,-0.230769,0
21,68389X10,1987,11,-0.130000,0
22,68389X10,1987,12,0.333333,0
23,68389X10,1988,01,-0.034483,0
24,68389X10,1988,02,0.080357,0
25,68389X10,1988,03,0.074380,0
26,68389X10,1988,04,0.030769,0
27,68389X10,1988,05,0.000000,0
28,68389X10,1988,06,0.179104,0
29,68389X10,1988,07,-0.037975,0
30,68389X10,1988,08,-0.026316,0
31,68389X10,1988,09,0.087838,0
32,68389X10,1988,10,-0.217391,0
33,68389X10,1988,11,0.095238,0
34,68389X10,1988,12,0.130435,0
35,68389X10,1989,01,0.211538,0
36,68389X10,1989,02,-0.047619,0
37,68389X10,1989,03,0.072222,0
38,68389X10,1989,04,0.202073,0
39,68389X10,1989,05,0.051724,0
40,68389X10,1989,06,-0.024590,0
41,68389X10,1989,07,0.033613,0
42,68389X10,1989,08,0.219512,0
43,68389X10,1989,09,0.260000,0
44,68389X10,1989,10,-0.015873,0
45,68389X10,1989,11,0.032258,0
46,68389X10,1989,12,-0.026042,0
47,68389X10,1990,01,-0.080214,0
48,68389X10,1990,02,0.040698,0
49,68389X10,1990,03,-0.156425,0
50,68389X10,1990,04,-0.158940,0
51,68389X10,1990,05,0.244094,0
52,68389X10,1990,06,0.170886,0
53,68389X10,1990,07,-0.270270,0
54,68389X10,1990,08,-0.311111,0
55,68389X10,1990,09,-0.440860,0
56,68389X10,1990,10,-0.173077,0
57,68389X10,1990,11,0.465116,0
58,68389X10,1990,12,0.000000,0
59,68389X10,1991,01,0.142857,0
60,68389X10,1991,02,0.000000,0
61,68389X10,1991,03,0.000000,0
62,68389X10,1991,04,0.027778,0
63,68389X10,1991,05,-0.189189,0
64,68389X10,1991,06,0.133333,0
65,68389X10,1991,07,0.073529,0
66,68389X10,1991,08,0.232877,0
67,68389X10,1991,09,0.188889,0
68,68389X10,1991,10,0.177570,0
69,68389X10,1991,11,-0.142857,0
70,68389X10,1991,12,0.074074,0
71,68389X10,1992,01,0.275862,0
72,68389X10,1992,02,0.081081,0
73,68389X10,1992,03,-0.325000,0
74,68389X10,1992,04,0.027778,0
75,68389X10,1992,05,0.072072,0
76,68389X10,1992,06,0.025210,0
77,68389X10,1992,07,0.221311,0
78,68389X10,1992,08,-0.060403,0
79,68389X10,1992,09,0.142857,0
80,68389X10,1992,10,0.112500,0
81,68389X10,1992,11,0.000000,0
82,68389X10,1992,12,0.275281,0
83,68389X10,1993,01,0.145374,0
84,68389X10,1993,02,0.007692,0
85,68389X10,1993,03,0.122137,0
86,68389X10,1993,04,-0.030612,0
87,68389X10,1993,05,0.171930,0
88,68389X10,1993,06,0.179641,0
89,68389X10,1993,07,0.022843,0
90,68389X10,1993,08,0.022333,0
91,68389X10,1993,09,0.191748,0
92,68389X10,1993,10,-0.034623,0
93,68389X10,1993,11,0.067511,0
94,68389X10,1993,12,-0.090909,0
95,68389X10,1994,01,0.117391,0
96,68389X10,1994,02,0.027237,0
97,68389X10,1994,03,-0.026515,0
98,68389X10,1994,04,-0.070039,0
99,68389X10,1994,05,0.146444,0
100,68389X10,1994,06,0.094891,0
101,68389X10,1994,07,0.020000,0
102,68389X10,1994,08,0.116013,0
103,68389X10,1994,09,0.007321,0
104,68389X10,1994,10,0.069767,0
105,68389X10,1994,11,-0.103261,0
106,68389X10,1994,12,0.069697,0
107,68389X10,1995,01,-0.033994,0
108,68389X10,1995,02,0.104106,0
109,68389X10,1995,03,-0.003984,0
110,68389X10,1995,04,-0.024000,0
111,68389X10,1995,05,0.139344,0
112,68389X10,1995,06,0.111511,0
113,68389X10,1995,07,0.084142,0
114,68389X10,1995,08,-0.041791,0
115,68389X10,1995,09,-0.043614,0
116,68389X10,1995,10,0.136808,0
117,68389X10,1995,11,0.040115,0
118,68389X10,1995,12,-0.066116,0
119,68389X10,1996,01,0.126844,0
120,68389X10,1996,02,0.089005,0
121,68389X10,1996,03,-0.093750,0
122,68389X10,1996,04,0.074271,0
123,68389X10,1996,05,-0.018519,0
124,68389X10,1996,06,0.190566,0
125,68389X10,1996,07,-0.007924,0
126,68389X10,1996,08,-0.099042,0
127,68389X10,1996,09,0.207447,0
128,68389X10,1996,10,-0.005874,0
129,68389X10,1996,11,0.158050,0
130,68389X10,1996,12,-0.147959,0
